iter	Passed	Remaining
0	123	123438
1	124	62262
2	126	41910
3	127	31809
4	129	25726
5	134	22303
6	137	19445
7	138	17180
8	140	15422
9	141	13972
10	142	12785
11	143	11809
12	145	11073
13	148	10458
14	149	9826
15	151	9289
16	152	8807
17	153	8375
18	155	8017
19	157	7736
20	159	7440
21	162	7227
22	164	6971
23	165	6726
24	166	6497
25	167	6281
26	168	6082
27	176	6130
28	177	5956
29	179	5796
30	180	5654
31	182	5515
32	183	5378
33	184	5249
34	186	5148
35	194	5218
36	196	5105
37	197	5002
38	199	4904
39	201	4829
40	202	4734
41	203	4651
42	205	4580
43	208	4529
44	209	4449
45	210	4369
46	211	4293
47	213	4237
48	214	4170
49	217	4141
50	220	4103
51	222	4048
52	223	3989
53	224	3928
54	225	3872
55	226	3819
56	228	3787
57	230	3743
58	231	3693
59	232	3645
60	234	3606
61	235	3559
62	236	3514
63	237	3470
64	238	3428
65	239	3386
66	240	3346
67	241	3309
68	245	3314
69	248	3302
70	250	3272
71	252	3254
72	253	3220
73	255	3190
74	258	3182
75	263	3202
76	264	3171
77	265	3140
78	266	3108
79	267	3076
80	268	3046
81	269	3019
82	270	2985
83	271	2960
84	273	2940
85	274	2914
86	275	2889
87	276	2865
88	279	2864
89	281	2843
90	282	2824
91	284	2803
92	285	2781
93	287	2775
94	290	2770
95	291	2749
96	293	2727
97	293	2705
98	295	2685
99	296	2665
100	296	2643
101	297	2622
102	298	2603
103	300	2584
104	301	2571
105	306	2587
106	307	2569
107	308	2550
108	309	2532
109	310	2515
110	312	2499
111	313	2484
112	314	2468
113	315	2454
114	317	2444
115	320	2445
116	322	2432
117	323	2420
118	325	2407
119	326	2393
120	327	2379
121	328	2364
122	330	2355
123	334	2361
124	335	2348
125	336	2335
126	337	2320
127	338	2308
128	339	2295
129	340	2282
130	342	2269
131	343	2256
132	344	2244
133	346	2237
134	364	2333
135	365	2318
136	366	2305
137	367	2292
138	368	2279
139	369	2267
140	370	2254
141	372	2247
142	373	2241
143	378	2250
144	382	2253
145	383	2243
146	384	2231
147	385	2219
148	386	2209
149	388	2201
150	389	2190
151	390	2178
152	391	2168
153	392	2157
154	393	2147
155	395	2137
156	396	2127
157	397	2116
158	398	2106
159	399	2096
160	400	2086
161	402	2079
162	405	2080
163	407	2074
164	408	2065
165	409	2056
166	410	2046
167	411	2036
168	412	2027
169	413	2018
170	414	2008
171	415	2002
172	420	2007
173	421	2001
174	422	1992
175	423	1983
176	424	1974
177	425	1965
178	426	1957
179	427	1948
180	429	1941
181	431	1937
182	432	1930
183	433	1922
184	434	1914
185	436	1908
186	437	1902
187	439	1896
188	440	1889
